source_id,latest_block,agent_risk_state,agent_execution_mode,baseline_notional,agent_notional,baseline_paper_gas_paid_proxy,agent_paper_gas_paid_proxy,avoided_paper_gas_paid_proxy,paper_gas_paid_proxy_reduction,baseline_paper_slippage_proxy,agent_paper_slippage_proxy,avoided_paper_slippage_proxy,paper_slippage_proxy_reduction,baseline_paper_failed_tx_cost_proxy,agent_paper_failed_tx_cost_proxy,avoided_paper_failed_tx_cost_proxy,paper_failed_tx_cost_proxy_reduction,baseline_paper_confirmation_delay_blocks_proxy,agent_paper_confirmation_delay_blocks_proxy,avoided_paper_confirmation_delay_blocks_proxy,paper_confirmation_delay_blocks_proxy_reduction,baseline_paper_execution_cost_proxy,agent_paper_execution_cost_proxy,avoided_paper_execution_cost_proxy,paper_execution_cost_proxy_reduction,baseline_opportunity_capture_proxy,agent_opportunity_capture_proxy,avoided_opportunity_capture_proxy,opportunity_capture_proxy_reduction
19000406_2026-05-01T11:08:35.637671+00:00,19000406,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.19165,0.095825,0.095825,0.5,0.027495,0.0137475,0.0137475,0.5,2.035815,2.035815,0.0,0.0,0.4227265,0.21136325,0.21136325,0.5,1.0,0.5,0.5,0.5
19000407_2026-05-01T11:09:24.333605+00:00,19000407,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.190226,0.095113,0.095113,0.5,0.0270678,0.0135339,0.0135339,0.5,2.0342486,2.0342486,0.0,0.0,0.42071866,0.21035933,0.21035933,0.5,1.0,0.5,0.5,0.5
19000408_2026-05-01T11:10:25.021245+00:00,19000408,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.193339,0.0966695,0.0966695,0.5,0.0280017,0.01400085,0.01400085,0.5,2.0376729,2.0376729,0.0,0.0,0.42510799,0.212553995,0.212553995,0.5,1.0,0.5,0.5,0.5
19000409_2026-05-01T11:11:25.711012+00:00,19000409,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2001969999999999,0.1000984999999999,0.1000985,0.5000000000000002,0.0300590999999999,0.0150295499999999,0.015029550000000001,0.5000000000000017,2.0452167,2.0452167,0.0,0.0,0.4347777699999998,0.2173888849999999,0.2173888849999999,0.5,1.0,0.5,0.5,0.5
19000410_2026-05-01T11:12:26.517169+00:00,19000410,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.1992319999999999,0.0996159999999999,0.09961600000000001,0.5000000000000003,0.0297695999999999,0.0148847999999999,0.0148848,0.5000000000000017,2.0441552,2.0441552,0.0,0.0,0.4334171199999999,0.2167085599999999,0.21670855999999997,0.5000000000000001,1.0,0.5,0.5,0.5
19000411_2026-05-01T11:13:27.422190+00:00,19000411,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.198527,0.0992635,0.0992635,0.5,0.0295581,0.01477905,0.01477905,0.5,2.0433797,2.0433797,0.0,0.0,0.43242307,0.216211535,0.216211535,0.5,1.0,0.5,0.5,0.5
19000412_2026-05-01T11:14:28.324816+00:00,19000412,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.201867,0.1009335,0.1009335,0.5,0.0305601,0.01528005,0.01528005,0.5,2.0470537,2.0470537,0.0,0.0,0.43713247,0.218566235,0.218566235,0.5,1.0,0.5,0.5,0.5
19000413_2026-05-01T11:15:29.066948+00:00,19000413,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.212696,0.106348,0.106348,0.5,0.0338088,0.0169044,0.0169044,0.5,2.0589656,2.0589656,0.0,0.0,0.45240136,0.22620068,0.22620068,0.5,1.0,0.5,0.5,0.5
19000414_2026-05-01T11:16:30.049180+00:00,19000414,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.217789,0.1088945,0.1088945,0.5,0.0353367,0.01766835,0.01766835,0.5,2.0645679,2.0645679,0.0,0.0,0.45958249,0.229791245,0.229791245,0.5,1.0,0.5,0.5,0.5
19000415_2026-05-01T11:17:30.945761+00:00,19000415,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2189999999999999,0.1094999999999999,0.10949999999999999,0.5000000000000002,0.0356999999999999,0.0178499999999999,0.017849999999999998,0.5000000000000013,2.0659,2.0659,0.0,0.0,0.4612899999999998,0.2306449999999999,0.2306449999999999,0.5,1.0,0.5,0.5,0.5
